active,calibration_rounds,candidate_opportunities,condition,deep_faces_global,faces,gate_admissions,gate_deep_window,gate_window,global_spatial_rms_centi,lindsey_fallbacks,lindsey_statuses,lindsey_valid_rounds,max_rounds,methods,mode,parent_scale,round_admitted_prefix,runtime,seed,stages,vertices,window_deep_faces,window_faces,window_nonquad_rms_centi
81,6,750,flat_p78_gauss_equaln,0,128,0,0,0,1.794872804669537,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.17,0,3,289,0,6,0.5476958878511932
81,6,624,flat_p78_gauss,0,128,0,0,0,7.23216510040178,0,"{""valid"": 6}",0,80,"{""permutation-lfdr"": 6}",perm_lfdr,0.25,0,2.03,2,3,289,0,6,2.289815360106665
274,16,4450,flat_p78_corr05,414,512,65,0,6,11.808378806822788,3,"{""nonconverged"": 3, ""valid"": 13}",13,80,"{""BH-fallback"": 3, ""lindsey"": 13}",baseline,0.25,69,5.12,2,3,1059,38,42,8.413632818536918
81,6,624,flat_p78_heavytail,0,128,0,0,0,7.802379914737215,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.36,3,3,289,0,6,2.4684107205922103
81,6,624,flat_p78_clean,0,128,0,0,0,0.37643484684621586,0,"{""nonconverged"": 2, ""valid"": 4}",0,80,"{""permutation-BH-fallback"": 2, ""permutation-lfdr"": 4}",perm_lfdr,0.25,0,2.08,2,3,289,0,6,0.27232880653014907
81,6,624,flat_p78_clean,0,128,0,0,0,0.41005485459910906,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,1.98,3,3,289,0,6,0.100342541371235
81,6,624,flat_p78_corr05,0,128,0,0,0,7.600015063356225,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.35,2,3,289,0,6,2.515142485336807
101,8,1201,flat_p78_clean,36,168,7,0,0,0.36957355852612184,5,"{""nonconverged"": 5, ""valid"": 3}",3,80,"{""BH-fallback"": 5, ""lindsey"": 3}",baseline,0.25,7,1.93,3,3,369,0,8,0.09334375770592468
92,9,1225,flat_p97_clean,14,149,4,0,0,0.23316333092899744,2,"{""nonconverged"": 2, ""valid"": 7}",7,80,"{""BH-fallback"": 2, ""lindsey"": 7}",baseline,0.25,9,2.82,3,3,332,0,6,0.05314126662214862
81,6,627,flat_p50_clean,0,128,0,0,0,0.3361767649506624,0,"{""valid"": 6}",0,80,"{""permutation-lfdr"": 6}",perm_lfdr,0.25,0,2.66,2,3,289,0,6,0.10808248570961708
81,6,624,flat_p78_corr01,0,128,0,0,0,7.35562918339703,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.35,2,3,289,0,6,2.260267235381941
81,6,750,flat_p78_gauss_equaln,0,128,0,0,0,1.794872804669537,0,"{""valid"": 6}",0,80,"{""permutation-lfdr"": 6}",perm_lfdr,0.25,0,2.06,0,3,289,0,6,0.5476958878511932
90,7,927,flat_p97_clean,12,146,3,0,0,0.10714912001480108,6,"{""nonconverged"": 6, ""valid"": 1}",1,80,"{""BH-fallback"": 6, ""lindsey"": 1}",baseline,0.25,3,2.22,1,3,325,0,6,0.024145110304718956
81,6,624,flat_p78_corr01,0,128,0,0,0,7.35562918339703,0,"{""nonconverged"": 3, ""valid"": 3}",0,80,"{""permutation-BH-fallback"": 3, ""permutation-lfdr"": 3}",perm_lfdr,0.25,0,2.36,2,3,289,0,6,2.260267235381941
81,6,609,flat_p97_clean,0,128,0,0,0,0.8464323838350626,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.12,2,3,289,0,6,0.28411363161197056
704,32,16460,flat_p78_gauss,1254,1364,187,0,3,13.287051190090141,1,"{""nonconverged"": 1, ""valid"": 31}",31,80,"{""BH-fallback"": 1, ""lindsey"": 31}",baseline,0.25,210,7.46,4,3,2771,34,39,2.7758675338400662
81,6,627,flat_p50_clean,0,128,0,0,0,0.3127417659639202,0,"{""valid"": 6}",0,80,"{""permutation-lfdr"": 6}",perm_lfdr,0.25,0,2.21,3,3,289,0,6,0.1642646990092401
105,12,2180,flat_p78_heavytail,40,176,9,0,0,13.515538000607666,0,"{""valid"": 12}",12,80,"{""lindsey"": 12}",baseline,0.25,26,3.83,0,3,385,0,6,4.069911399442709
95,7,936,flat_p78_clean,18,155,5,0,0,0.1627693001664428,3,"{""nonconverged"": 3, ""valid"": 4}",4,80,"{""BH-fallback"": 3, ""lindsey"": 4}",baseline,0.25,5,2.23,0,3,344,0,6,0.017656399660984597
81,6,624,flat_p78_corr05,0,128,0,0,0,8.855539970446118,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.16,0,3,289,0,6,3.3498702999308048
81,6,624,flat_p78_gauss,0,128,0,0,0,7.23216510040178,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.02,2,3,289,0,6,2.289815360106665
81,6,624,flat_p78_clean,0,128,0,0,0,0.3689869254687542,0,"{""nonconverged"": 5, ""valid"": 1}",0,80,"{""permutation-BH-fallback"": 5, ""permutation-lfdr"": 1}",perm_lfdr,0.25,0,2.48,1,3,289,0,6,0.21264196987925743
81,6,627,flat_p50_clean,0,128,0,0,0,0.3547158950884315,0,"{""empty-input"": 6}",0,80,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.32,4,3,289,0,6,0.06238818119537306
